ticker
PETR4.SA
VALE3.SA
ITUB4.SA
BBDC4.SA
ABEV3.SA
WEGE3.SA
MGLU3.SA
LREN3.SA
B3SA3.SA
SUZB3.SA
GGBR4.SA
BBAS3.SA
ITSA4.SA
RENT3.SA
ELET3.SA
AAPL34.SA 
